house_id,house_location,house_type,ridges,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0*,ratio_90*,ratio_180*,ratio_270*
80,Moreton_Bay_Mixed,R1,1,4,65.311,0.5,18.355,14.301,1.284,229.608,229.608,1,10.246,22.409,2.187,2,0,0.475,0,0.525,0
81,Moreton_Bay_Mixed,R1,1,4,65.318,0.5,18.417,14.243,1.293,227.455,227.455,1,10.069,22.591,2.244,2,0,0.465,0,0.535,0
67,Moreton_Bay_Mixed,R1,1,4,66.554,0.5,18.772,14.505,1.294,235.876,235.876,1,10.238,23.038,2.25,2,0,0.487,0,0.513,0
66,Moreton_Bay_Mixed,R1,1,4,66.123,0.5,18.68,14.381,1.299,231.688,231.688,1,10.083,22.979,2.279,2,0,0.478,0,0.522,0
82,Moreton_Bay_Mixed,R1,1,4,76.617,0.5,21.647,16.662,1.299,310.976,310.976,1,26.632,11.677,2.281,4,0,0.094,0.397,0.075,0.435
65,Moreton_Bay_Mixed,R1,1,4,67.57,0.5,19.094,14.691,1.3,241.745,241.745,1,10.289,23.497,2.284,4,0,0.389,0.109,0.377,0.125
76,Moreton_Bay_Mixed,R1,1,4,69.79,0.5,20.486,14.409,1.422,221.345,221.345,1,8.333,26.562,3.188,2,0,0.485,0,0.515,0
74,Moreton_Bay_Mixed,R1,1,4,68.869,0.5,20.706,13.728,1.508,186.861,186.861,1,6.75,27.685,4.102,2,0,0.497,0,0.503,0
37,Moreton_Bay_Mixed,R1,1,6,54.772,1,13.529,4.729,2.861,175.837,182.422,1.037,11.44,15.946,1.394,3,0.141,0,0.363,0,0.495
1,Moreton_Bay_Mixed,R1,1,6,46.034,1,12.508,2.836,4.41,106.681,111.071,1.041,16.131,6.885,2.343,5,0,0.108,0.4,0.066,0.425
0,Moreton_Bay_Mixed,R1,1,6,45.66,1,12.427,2.793,4.449,103.535,107.871,1.042,16.151,6.679,2.418,5,0,0.113,0.395,0.06,0.433
59,Moreton_Bay_Mixed,R1,1,7,42.449,0.714,9.466,2.018,4.69,107.627,112.178,1.042,11.276,9.948,1.133,2,0,0,0.451,0,0.549
46,Moreton_Bay_Mixed,R1,1,6,44.4,1,10.26,4.54,2.26,115.404,121.568,1.053,9.819,12.381,1.261,2,0,0.522,0,0.478,0
30,Moreton_Bay_Mixed,R1,1,6,41.071,1,9.461,4.229,2.237,97.871,103.082,1.053,11.798,8.737,1.35,2,0,0,0.504,0,0.496
19,Moreton_Bay_Mixed,R1,1,6,40.25,1,9.326,4.091,2.279,93.682,99.38,1.061,11.432,8.693,1.315,2,0,0,0.482,0.518,0
35,Moreton_Bay_Mixed,R1,1,6,42.994,1,9.756,4.576,2.132,105.293,111.697,1.061,12.707,8.79,1.446,2,0,0,0.512,0,0.488
51,Moreton_Bay_Mixed,R1,1,6,43.113,1,9.75,4.621,2.11,105.721,112.118,1.061,12.792,8.765,1.459,2,0,0,0.434,0,0.566
54,Moreton_Bay_Mixed,R1,1,6,43.78,1,9.901,4.692,2.11,108.507,115.453,1.064,8.862,13.028,1.47,2,0,0.482,0,0.518,0
26,Moreton_Bay_Mixed,R1,1,6,44.653,1,10.247,4.637,2.21,114.691,122.121,1.065,12.744,9.582,1.33,2,0,0,0.478,0,0.522
6,Moreton_Bay_Mixed,R1,1,8,56.595,0.75,12.747,2.314,5.51,163.177,173.778,1.065,9.01,19.288,2.141,5,0.193,0.276,0.114,0.298,0.12
44,Moreton_Bay_Mixed,R1,1,6,42.358,1,9.714,4.405,2.205,102.733,110.138,1.072,9.176,12.003,1.308,2,0,0.485,0,0.515,0
39,Moreton_Bay_Mixed,R1,1,6,44.019,1,9.952,4.721,2.108,109.911,118.023,1.074,12.76,9.249,1.38,2,0,0,0.461,0,0.539
21,Moreton_Bay_Mixed,R1,1,8,53.286,1,10.793,2.017,5.351,161.367,175.102,1.085,14.858,11.785,1.261,4,0.26,0,0.342,0,0.398
33,Moreton_Bay_Mixed,R1,1,6,50.602,1,12.725,4.143,3.071,140.565,152.728,1.087,9.947,15.354,1.544,3,0.089,0.462,0,0.449,0
40,Moreton_Bay_Mixed,R1,1,6,71.036,1,15.9,7.779,2.044,263.975,287.73,1.09,12.501,23.017,1.841,2,0,0.544,0,0.456,0
32,Moreton_Bay_Mixed,R1,1,6,48.961,1,12.281,4.039,3.04,124.609,137.339,1.102,8.707,15.773,1.812,3,0.136,0.421,0,0.443,0
18,Moreton_Bay_Mixed,R1,1,6,54.052,1,12.38,5.637,2.196,163.173,179.928,1.103,15.148,11.878,1.275,4,0.341,0,0.299,0,0.361
60,Moreton_Bay_Mixed,R1,1,7,48.089,0.714,10.784,3.464,3.113,128.205,141.683,1.105,10.333,13.711,1.327,3,0.113,0.459,0,0.428,0
56,Moreton_Bay_Mixed,R1,1,6,44.094,1,9.926,4.772,2.08,106.708,118.754,1.113,9.361,12.686,1.355,2,0,0.459,0,0.541,0
38,Moreton_Bay_Mixed,R1,1,8,51.208,1,10.676,2.064,5.173,146.776,163.853,1.116,12.615,12.989,1.03,3,0.204,0.418,0,0.377,0
55,Moreton_Bay_Mixed,R1,1,8,51.933,0.75,10.682,1.972,5.416,146.181,163.46,1.118,15.243,10.724,1.421,3,0.159,0,0.415,0,0.427
4,Moreton_Bay_Mixed,R1,1,6,47.913,1,10.75,5.221,2.059,126.838,142.179,1.121,13.117,10.839,1.21,3,0.142,0,0.42,0,0.438
85,Moreton_Bay_Mixed,R1,1,12,76.615,0.583,13.891,2.926,4.747,257.413,289.959,1.126,21.152,13.709,1.543,4,0.157,0,0.422,0,0.422
52,Moreton_Bay_Mixed,R1,1,8,77.041,0.75,15.813,4.089,3.868,259.44,292.658,1.128,10.411,28.109,2.7,3,0.073,0.448,0,0.479,0
29,Moreton_Bay_Mixed,R1,1,6,44.955,1,10.138,4.847,2.092,110.883,125.324,1.13,10.245,12.233,1.194,2,0,0.525,0,0.475,0
34,Moreton_Bay_Mixed,R1,1,6,50.465,1,11.05,5.772,1.915,135.657,154.716,1.14,14.727,10.505,1.402,2,0,0,0.451,0,0.549
7,Moreton_Bay_Mixed,R1,1,8,54.083,0.75,11.734,1.654,7.094,152.586,174.064,1.141,16.479,10.563,1.56,3,0.066,0,0.455,0,0.478
45,Moreton_Bay_Mixed,R1,1,6,51.469,1,12.223,4.933,2.478,134.931,154.491,1.145,9.539,16.196,1.698,2,0,0.504,0,0.496,0
25,Moreton_Bay_Mixed,R1,1,6,48.103,1,11.362,4.672,2.432,125.668,144.614,1.151,12.073,11.978,1.008,4,0.374,0,0.301,0.326,0
41,Moreton_Bay_Mixed,R1,1,8,52.241,0.75,10.478,2.9,3.612,144.502,167.254,1.157,14.882,11.239,1.324,3,0.148,0,0.373,0,0.479
24,Moreton_Bay_Mixed,R1,1,8,52.372,0.875,11.488,2.812,4.086,140.664,164.052,1.166,15.862,10.342,1.534,4,0.328,0,0.319,0,0.353
36,Moreton_Bay_Mixed,R1,1,8,47.274,1,8.886,2.723,3.264,118.935,139.281,1.171,12.447,11.19,1.112,3,0.093,0,0.415,0,0.491
48,Moreton_Bay_Mixed,R1,1,8,52.727,0.75,10.606,2.575,4.119,147.582,172.812,1.171,12.208,14.156,1.16,5,0.153,0.293,0.12,0.292,0.142
88,Moreton_Bay_Mixed,R1,1,16,81.446,0.688,13.486,1.442,9.353,283.46,331.83,1.171,12.958,25.608,1.976,7,0.121,0.332,0.088,0.348,0.111
50,Moreton_Bay_Mixed,R1,1,8,47.071,0.75,9.386,2.624,3.577,117.506,138.476,1.178,11.734,11.802,1.006,3,0.179,0.41,0,0.411,0
31,Moreton_Bay_Mixed,R1,1,6,49.815,1,11.237,5.368,2.093,130.724,154.641,1.183,11.78,13.128,1.114,3,0.116,0.457,0,0.427,0
43,Moreton_Bay_Mixed,R1,1,8,50.537,0.75,9.917,2.625,3.778,130.045,154.252,1.186,14.952,10.316,1.449,3,0.149,0,0.394,0,0.457
23,Moreton_Bay_Mixed,R1,1,10,54.26,0.9,8.35,1.997,4.182,150.998,180.459,1.195,11.68,15.45,1.323,3,0.14,0.439,0,0.421,0
86,Moreton_Bay_Mixed,R1,1,18,78.626,0.889,10.182,1.203,8.465,207.473,249.626,1.203,20.266,12.317,1.645,7,0.144,0,0.389,0,0.468
89,Moreton_Bay_Mixed,R1,1,6,62.608,1,14.389,6.48,2.221,192.098,233.493,1.215,12.262,19.042,1.553,3,0,0.435,0,0.565,0
49,Moreton_Bay_Mixed,R1,1,8,51.662,0.75,10.821,2.179,4.967,132.325,162.551,1.228,10.851,14.98,1.381,3,0.107,0.464,0,0.429,0
42,Moreton_Bay_Mixed,R1,1,8,53.461,0.75,10.51,3.265,3.219,141.769,175.455,1.238,15.148,11.583,1.308,3,0.125,0,0.41,0,0.465
5,Moreton_Bay_Mixed,R1,1,6,57.391,1,13.285,5.845,2.273,162.435,201.935,1.243,16.328,12.367,1.32,3,0.113,0,0.45,0,0.437
3,Moreton_Bay_Mixed,R1,1,8,53.985,1,9.913,3.471,2.856,146.503,182.035,1.243,13.158,13.834,1.051,4,0.184,0.399,0,0.418,0
53,Moreton_Bay_Mixed,R1,1,9,49.27,0.889,7.737,2.639,2.931,122.042,151.693,1.243,12.493,12.142,1.029,3,0.159,0,0.399,0,0.442
2,Moreton_Bay_Mixed,R1,1,10,60.591,0.9,11.361,1.951,5.824,176.925,221.598,1.252,17.951,12.345,1.454,4,0.244,0,0.391,0,0.364
22,Moreton_Bay_Mixed,R1,1,10,64.426,0.9,9.771,3.02,3.235,200.103,252.22,1.26,18.79,13.423,1.4,4,0.223,0,0.352,0,0.425
27,Moreton_Bay_Mixed,R1,1,10,46.091,0.9,7.91,1.935,4.087,104.467,132.77,1.271,11.448,11.598,1.013,4,0.133,0.419,0,0.448,0
57,Moreton_Bay_Mixed,R1,1,10,49.993,0.9,7.571,2.332,3.247,121.795,156.208,1.283,12.477,12.52,1.003,3,0.164,0,0.436,0,0.4
28,Moreton_Bay_Mixed,R1,1,10,52.968,0.9,8.452,2.528,3.344,134.198,175.049,1.304,12.694,13.79,1.086,3,0.111,0.493,0,0.396,0
47,Moreton_Bay_Mixed,R1,1,10,53.99,0.9,7.739,2.379,3.252,137.553,180.914,1.315,12.371,14.624,1.182,3,0.233,0,0.38,0,0.377
20,Moreton_Bay_Mixed,R1,1,10,60.931,0.9,11.62,2.612,4.449,173.663,229.764,1.323,16.74,13.725,1.22,5,0.375,0,0.32,0,0.305
58,Moreton_Bay_Mixed,R1,1,12,61.485,0.833,10.497,1.564,6.713,164.08,222.241,1.354,19.117,11.625,1.644,4,0.24,0,0.341,0,0.419
87,Moreton_Bay_Mixed,R1,1,12,83.711,0.583,12.983,3.221,4.031,224.92,312.763,1.391,21.395,14.618,1.464,4,0.165,0,0.417,0,0.417
